:131:Miles, Anthony J:Adams, Michael:1:
:132:Larsen, Bent:Adams, Michael:0:
:133:Csom, Istvan:Adams, Michael:0:
:134:Andersson, Ulf:Adams, Michael:0:
:135:Adams, Michael:Tal, Mihail:0:
:136:Adams, Michael:Spassky, Boris V:-1:
:137:Adams, Michael:Larsen, Bent:1:
:138:Adams, Michael:Csom, Istvan:1:
:139:Adams, Michael:Andersson, Ulf:0:
:140:Koch, Jean Rene:Adams, Michael:0:
:141:Neiman, Emmanuel:Adams, Michael:-1:
:142:Adams, Michael:Vaisman, Volodia:1:
:143:Adams, Michael:Seret, Jean Luc:1:
:144:Adams, Michael:Lautier, Joel:-1:
:145:Adams, Michael:Hebden, Mark:-1:
:146:Adams, Michael:Dezan, Pierre:1:
:147:Adams, Michael:Bricard, Emmanuel:1:
:148:Adams, Michael:Adrian, Claude:1:
:149:Guidez, Yann Michel:Adams, Michael:-1:
:150:Denis, Laurent:Adams, Michael:-1:
:151:Adams, Michael:Fernandes, Antonio:1:
:152:Adams, Michael:Lautier, Joel:0:
:153:Wojtkiewicz, Aleksander:Adams, Michael:1:
:154:Adams, Michael:Hort, Vlastimil:-1:
:155:Polgar, Judit:Adams, Michael:1:
:156:Beliavsky, Alexander G:Adams, Michael:1:
:157:Adams, Michael:Jussupow, Artur:0:
:158:Adams, Michael:Nikolic, Predrag:0:
:159:Adams, Michael:Dolmatov, Sergey:0:
:160:Adams, Michael:Speelman, Jonathan S:0:
:161:Adams, Michael:Spraggett, Kevin:1:
:162:Chandler, Murray G:Adams, Michael:-1:
:163:Dolmatov, Sergey:Adams, Michael:1:
:164:Adams, Michael:Chandler, Murray G:-1:
:165:Adams, Michael:Gulko, Boris F:0:
:166:Gulko, Boris F:Adams, Michael:0:
:167:Nikolic, Predrag:Adams, Michael:1:
:168:Speelman, Jonathan S:Adams, Michael:0:
:169:Spraggett, Kevin:Adams, Michael:1:
:170:Jussupow, Artur:Adams, Michael:0:
:171:Hodgson, Julian M:Adams, Michael:0:
:172:Adams, Michael:Tozer, Richard:-1:
:173:Burgess, Graham:Adams, Michael:-1:
:174:Chernin, Alexander:Adams, Michael:0:
:175:Kamsky, Gata:Adams, Michael:-1:
:176:Adams, Michael:Arkell, Keith C:0:
:177:Adams, Michael:Hodgson, Julian M:0:
:178:Adams, Michael:Lalic, Susan:1:
:179:Adams, Michael:Motwani, Paul:-1:
:180:Adams, Michael:Suba, Mihai:1:
:181:Adams, Michael:Wilder, Michael:0:
:182:Adams, Michael:Wolff, Patrick G:1:
:183:Davies, Nigel R:Adams, Michael:0:
:184:King, Daniel J:Adams, Michael:1:
:185:Larsen, Bent:Adams, Michael:1:
:186:McNab, Colin Anderson:Adams, Michael:-1:
:187:Sadler, Matthew:Adams, Michael:1:
:188:Watson, William N:Adams, Michael:0:
:189:Adams, Michael:Ravikumar, Vaidyanathan:1:
:190:Lodhi, Mahmood:Adams, Michael:1:
:191:Adams, Michael:Holland, Christopher:1:
:192:Large, Peter G:Adams, Michael:-1:
:193:Watson, William N:Adams, Michael:0:
:194:Murshed, Niaz:Adams, Michael:1:
:195:McNab, Colin Anderson:Adams, Michael:0:
:196:Kosten, Anthony C:Adams, Michael:0:
:197:Adams, Michael:Levitt, Jonathan:0:
:198:Adams, Michael:Hebden, Mark:1:
:199:Adams, Michael:Conquest, Stuart:1:
:200:Adams, Michael:Bronstein, David I:1:
:201:Adams, Michael:Barua, Dibyendu:0:
:202:Adams, Michael:Dunnington, Angus J:1:
:203:Adams, Michael:Matulovic, Milan:0:
:204:Adams, Michael:Pergericht, Daniel:1:
:205:Adams, Michael:Polaczek, Richard:0:
:206:Adams, Michael:Rajkovic, Dusan:1:
:207:Dutreeuw, Marc:Adams, Michael:-1:
:208:Adams, Michael:Wells, Peter K:0:
:209:Mortazavi, Ali:Adams, Michael:0:
:210:Shrentzel, Mordechai:Adams, Michael:-1:
